,addresses,conv,long,lat
1,"150 W Juana Ave San Leandro, CA 94577 ","150 W Juana Ave, San Leandro, CA 94577",-122.1552926,37.7237931
2,"Piedmont Ave, North Oakland 4001B Piedmont Ave Oakland, CA 94611 ","Piedmont Ave, North Oakland, 4001B Piedmont Ave, Oakland, CA 94611",-122.2533676,37.8258587
3,"East Oakland 8711 Macarthur Blvd Oakland, CA 94605 ","East Oakland, 8711 Macarthur Blvd, Oakland, CA 94605",-122.1633355,37.758108
4,"Uptown Oakland, CA 94612 ","Uptown, Oakland, CA 94612",-122.2731869,37.8092023
5,"Downtown Oakland 595 15th St Oakland, CA 94612 ","Downtown Oakland, 595 15th St, Oakland, CA 94612",-122.2741092,37.8061899
6,"3288 Pierce St Richmond, CA 94804 ","3288 Pierce St, Richmond, CA 94804",-122.308133,37.8988689
7,Located in Pacific East Mall ,"Pacific East Mall, Albany, NY",-122.3075841,37.8988707
8,"Downtown 1113 4th St NW Albuquerque, NM 87102 ","Downtown, 1113 4th St NW, Albuquerque, NM 87102",-106.6499235,35.0955498
9,"Business Parkway/Academy Acres 7600 Jefferson St NE Albuquerque, NM 87109 ","7600 Jefferson St NE, Albuquerque, NM 87109",-106.5910492,35.1656394
10,"Business Parkway/Academy Acres 7501 Paseo Del Norte Blvd NE Albuquerque, NM 87113 ","Business Parkway/Academy Acres, 7501 Paseo Del Norte Blvd NE, Albuquerque, NM 87113",-106.5619233,35.1749351
11,"Old Town 1828 Central Ave SW Albuquerque, NM 87104 ","Old Town, 1828 Central Ave SW, Albuquerque, NM 87104",-106.6677042,35.092208
12,"North Valley/Los Ranchos 1050 Rio Grande Blvd NW Albuquerque, NM 87104 ","North Valley/Los Ranchos, 1050 Rio Grande Blvd NW, Albuquerque, NM 87104",-106.6705461,35.1062558
13,"Pentagon City 1235 14th Rd S Arlington, VA 22202 ","Pentagon City, 1235 14th Rd S, Arlington, VA 22202",-77.0511169,38.8617256
14,"Del Ray 1603 Commonwealth Ave Alexandria, VA 22301 ","Del Ray, 1603 Commonwealth Ave, Alexandria, VA 22301",-77.0628451,38.8202534
15,"600 14th St NW Washington, DC 20005 ","600 14th St NW, Washington, DC 20005",-77.0322736,38.8976548
16,"Ballston 4000 Wilson Blvd Arlington, VA 22203 ","Ballston, 4000 Wilson Blvd, Arlington, VA 22203",-77.1079069,38.8795267
17,"101 Constitution Ave NW Washington, DC 20001 ","101 Constitution Ave NW, Washington, DC 20001",-77.0131212,38.8926816
18,"1100 W Commonwealth Ave Alhambra, CA 91803 ","1100 W Commonwealth Ave, Alhambra, CA 91803",-118.1352634,34.0870301
19,"Pasadena 975 N Michillinda Ave Pasadena, CA 91107 ","975 N Michillinda Ave, Pasadena, CA 91107",-118.0683048,34.1628816
