"addresses","lon","lat","geoAddress"
"Aurora, CO",NA,NA,"NA"
"Calgary, Canada",-114.0708459,51.0486151,"calgary, ab, canada"
"Cleveland, OH",-81.6943605,41.49932,"cleveland, oh, usa"
"Copenhagen, Denmark",12.5683372,55.6760968,"copenhagen, denmark"
"Copenhagen, Denmark",12.5683372,55.6760968,"copenhagen, denmark"
"Cordova, TN",-89.761545,35.1598391,"cordova, tn, usa"
"Detroit, MI",-83.0457538,42.331427,"detroit, mi, usa"
"Fort Lauderdale, FL",NA,NA,"NA"
"Gilbert, AZ",NA,NA,"NA"
"Glen Allen, VA",-77.5063739,37.665978,"glen allen, va, usa"
"Helotes, TX",-98.6897451,29.5780056,"helotes, tx 78023, usa"
"Land O Lakes, FL",-82.4575938,28.2188992,"land o' lakes, fl, usa"
"Louisville, KY",-85.7584557,38.2526647,"louisville, ky, usa"
"Manila, Philippines",120.9842195,14.5995124,"manila, metro manila, philippines"
"Mansfield, CT",NA,NA,"NA"
"Milwaukee, WI",NA,NA,"NA"
"Minato, Japan",139.7515992,35.6580681,"minato, tokyo, japan"
"Minneapolis, MN",NA,NA,"NA"
"Minneapolis, MN",NA,NA,"NA"
"Minneapolis, MN",-93.2650108,44.977753,"minneapolis, mn, usa"
"Minneapolis, MN",NA,NA,"NA"
"Nashville, TN",NA,NA,"NA"
"New York, NY",NA,NA,"NA"
"Newbury Park, CA",NA,NA,"NA"
"Nuremberg, Germany",NA,NA,"NA"
"Oakland, CA",NA,NA,"NA"
"Omaha, NE",NA,NA,"NA"
"Ottawa, Canada",-75.6971931,45.4215296,"ottawa, on, canada"
"Philadelphia, PA",NA,NA,"NA"
"Philadelphia, PA",NA,NA,"NA"
"Philadelphia, PA",-75.1652215,39.9525839,"philadelphia, pa, usa"
"Pittsburgh, PA",NA,NA,"NA"
"Pittsburgh, PA",-79.9958864,40.4406248,"pittsburgh, pa, usa"
"Redwood City, CA",NA,NA,"NA"
"Singapore, Singapore",NA,NA,"NA"
"South San Francisco, CA",NA,NA,"NA"
"St. Louis, MO",-90.1994042,38.6270025,"st. louis, mo, usa"
"St. Paul, MN",-93.0899578,44.9537029,"st paul, mn, usa"
"St. Paul, MN",NA,NA,"NA"
"Tampa, FL",NA,NA,"NA"
"Thousand Oaks, CA",NA,NA,"NA"
"Toronto, Canada",NA,NA,"NA"
"Torrance, CA",NA,NA,"NA"
"Tucson, AZ",-110.9747108,32.2226066,"tucson, az, usa"
"Washington, DC",-77.0368707,38.9071923,"washington, dc, usa"
"Washington, DC",-77.0368707,38.9071923,"washington, dc, usa"
"Washington, DC",-77.0368707,38.9071923,"washington, dc, usa"
"Washington, DC",NA,NA,"NA"
"Aarhus, Denmark",10.203921,56.162939,"aarhus, denmark"
"Chattanooga, TN",NA,NA,"NA"
"Fair Lawn, NJ",NA,NA,"NA"
"Linden, CA",NA,NA,"NA"
"Port Monmouth, NJ",-74.1002478,40.4314588,"port monmouth, middletown, nj, usa"
"Rio Rancho, NM",-106.6630437,35.2327544,"rio rancho, nm, usa"
"San Francisco Bay, CA",-122.3107517,37.6909682,"san francisco bay, california, usa"
"NC",NA,NA,"NA"
"Japan",138.252924,36.204824,"japan"
"Taiwan",120.960515,23.69781,"taiwan"
"CA",NA,NA,"NA"
"CA",NA,NA,"NA"
"Taiwan",NA,NA,"NA"
"CA",-119.4179324,36.778261,"california, usa"
"Japan",NA,NA,"NA"
"MN",NA,NA,"NA"
"Japan",138.252924,36.204824,"japan"
"Japan",NA,NA,"NA"
"CA",NA,NA,"NA"
"CA",NA,NA,"NA"
"CA",NA,NA,"NA"
"CA",NA,NA,"NA"
