,address,city,n_reviews,number_restaurants,rating,restaurant_link,restaurant_name,restaurant_number
0,"150 W Juana Ave
San Leandro, CA 94577
(510) 352-7652",Alameda,372,1827,4.0,https://www.yelp.com/biz/sons-of-liberty-alehouse-san-leandro-4,Sons of Liberty Alehouse,310
1,"Piedmont Ave, North Oakland
4001B Piedmont Ave
Oakland, CA 94611
(510) 350-7619",Alameda,25,1827,4.0,https://www.yelp.com/biz/belotti-bottega-oakland,Belotti Bottega,510
2,"East Oakland
8711 Macarthur Blvd
Oakland, CA 94605
(510) 777-9909",Alameda,21,1827,5.0,https://www.yelp.com/biz/corners-cafe-oakland-3,Corners Cafe,710
3,"Uptown
Oakland, CA 94612
(510) 604-6389",Alameda,27,1827,4.5,https://www.yelp.com/biz/sticks-oakland,Sticks,910
4,"Downtown Oakland
595 15th St
Oakland, CA 94612
(510) 836-3828",Alameda,48,1827,4.0,https://www.yelp.com/biz/annies-deli-oakland,Annie’s Deli,120
5,"3288 Pierce St
Richmond, CA 94804
(510) 508-7354",Albany,138,250,3.5,https://www.yelp.com/biz/hong-kong-snack-house-richmond,Hong Kong Snack House,96
6,"Located in Pacific East Mall
(510) 529-4546",Albany,164,250,4.0,https://www.yelp.com/biz/kamza-sushi-palace-richmond,Kamza Sushi Palace,46
7,"Downtown
1113 4th St NW
Albuquerque, NM 87102
(505) 247-9149",Albuquerque,74,1667,4.0,https://www.yelp.com/biz/the-original-garcias-kitchen-albuquerque,The Original Garcia’s Kitchen,622
8,"Business Parkway/Academy Acres
7600 Jefferson St NE
Albuquerque, NM 87109
(505) 821-6184",Albuquerque,11,1667,3.5,https://www.yelp.com/biz/twisters-burgers-and-burritos-albuquerque-5,Twisters Burgers and Burritos,822
9,"Business Parkway/Academy Acres
7501 Paseo Del Norte Blvd NE
Albuquerque, NM 87113
(505) 797-1800",Albuquerque,52,1667,3.0,https://www.yelp.com/biz/marios-pizzeria-and-ristorante-albuquerque-4,Mario’s Pizzeria & Ristorante,32
10,"Old Town
1828 Central Ave SW
Albuquerque, NM 87104
(505) 842-5507",Albuquerque,426,1667,4.0,https://www.yelp.com/biz/vinaigrette-albuquerque-2,Vinaigrette,232
11,"North Valley/Los Ranchos
1050 Rio Grande Blvd NW
Albuquerque, NM 87104
(505) 508-2640",Albuquerque,72,1667,3.5,https://www.yelp.com/biz/the-range-caf%C3%A9-albuquerque-6,The Range Café,432
12,"Pentagon City
1235 14th Rd S
Arlington, VA 22202
(703) 501-0130",Alexandria,6,6991,4.5,https://www.yelp.com/biz/rice-bar-arlington-2,Rice Bar,10
13,"Del Ray
1603 Commonwealth Ave
Alexandria, VA 22301
(571) 312-0402",Alexandria,138,6991,4.0,https://www.yelp.com/biz/live-oak-restaurant-alexandria,Live Oak Restaurant,210
14,"600 14th St NW
Washington, DC 20005
(202) 787-1000",Alexandria,1858,6991,3.5,https://www.yelp.com/biz/the-hamilton-washington,The Hamilton,410
15,"Ballston
4000 Wilson Blvd
Arlington, VA 22203
(703) 243-4400",Alexandria,491,6991,3.5,https://www.yelp.com/biz/kapnos-taverna-arlington,Kapnos Taverna,610
16,"101 Constitution Ave NW
Washington, DC 20001
(202) 547-8100",Alexandria,436,6991,4.0,https://www.yelp.com/biz/charlie-palmer-steak-washington,Charlie Palmer Steak,810
17,"1100 W Commonwealth Ave
Alhambra, CA 91803
(626) 300-0153",Alhambra,73,3624,3.5,https://www.yelp.com/biz/mannys-tacos-alhambra,Manny’s Tacos,761
18,"Pasadena
975 N Michillinda Ave
Pasadena, CA 91107
(626) 836-0111",Alhambra,264,3624,4.0,https://www.yelp.com/biz/colette-pasadena-2,Colette,961
19,"Pasadena
6501 Foothill
Pasadena, CA 91103
(626) 818-7427",Alhambra,92,3624,4.5,https://www.yelp.com/biz/rodneys-ribs-pasadena,Rodney’s Ribs,171
20,"111 N Atlantic Blvd
Monterey Park, CA 91754
(626) 943-7956",Alhambra,926,3624,4.0,https://www.yelp.com/biz/shin-sen-gumi-yakitori-and-shabu-shabu-monterey-park-monterey-park,Shin-Sen-Gumi Yakitori & Shabu-Shabu-Monterey Park,371
21,"Highland Park
5611 N Figueroa St
Los Angeles, CA 90042
(323) 204-9397",Alhambra,20,3624,4.0,https://www.yelp.com/biz/homestate-los-angeles-4,HomeState,571
22,"10450 Beach Blvd
Stanton, CA 90680
(714) 952-9848",Anaheim,308,4527,4.0,https://www.yelp.com/biz/mama-ks-kichen-stanton,Mama K’s Kichen,888
23,"12432 Lampson Ave
Garden Grove, CA 92840
(714) 537-6703",Anaheim,37,4527,4.0,https://www.yelp.com/biz/el-tamal-cocina-mexicana-tamales-restaurant-garden-grove,El Tamal Cocina Mexicana - Tamales Restaurant,98
24,"880 W Lincoln Ave
Anaheim, CA 92805
(714) 956-2830",Anaheim,798,4527,4.0,https://www.yelp.com/biz/munch-thai-food-and-sweet-tea-anaheim,Munch Thai Food & Sweet Tea,298
25,"13011 Newport Ave
Tustin, CA 92780
(714) 731-6600",Anaheim,510,4527,4.5,https://www.yelp.com/biz/christakis-greek-cuisine-tustin,Christakis Greek Cuisine,498
26,"3070 W Chapman Ave
Orange, CA 92868
(714) 978-7482",Anaheim,342,4527,3.5,https://www.yelp.com/biz/pita-grill-orange-4,Pita Grill,698
27,"South University Ann Arbor
1300 S University Ave
Ann Arbor, MI 48104
(734) 222-8080",Ann Arbor,170,779,3.0,https://www.yelp.com/biz/no-thai-ann-arbor,No Thai!,360
28,"5910 Jackson Rd
Ann Arbor, MI 48103
(734) 741-1111",Ann Arbor,28,779,4.0,https://www.yelp.com/biz/culvers-ann-arbor,Culver’s,560
29,"911 N University Ave
Ann Arbor, MI 48109
(734) 769-7400",Ann Arbor,0,779,-1.0,https://www.yelp.com/biz/taco-bell-ann-arbor-4,Taco Bell,760
30,"505 S Huron St
Ypsilanti, MI 48197
(734) 484-4990",Ann Arbor,0,779,-1.0,https://www.yelp.com/biz/krispy-krunchy-chicken-ypsilanti,Krispy Krunchy Chicken,181
31,"5183 Lee Hwy
Arlington, VA 22207
(703) 241-8947",Arlington,150,4746,3.5,https://www.yelp.com/biz/caribbean-grill-arlington,Caribbean Grill,851
32,"804 V St NW
Washington, DC 20001
(202) 627-2277",Arlington,132,4746,3.5,https://www.yelp.com/biz/declaration-washington,Declaration,61
33,"Crystal City
2250-A Crystal Dr
Arlington, VA 22202
(703) 413-8181",Arlington,760,4746,3.5,https://www.yelp.com/biz/jaleo-arlington,Jaleo,261
34,"Georgetown
1210 Potomac St NW
Washington, DC 20007
(202) 333-4265",Arlington,243,4746,5.0,https://www.yelp.com/biz/falafel-washington-5,Falafel,461
35,"Dupont Circle, Downtown
1815 M St NW
Washington, DC 20036
(202) 457-1111",Arlington,667,4746,4.5,https://www.yelp.com/biz/bub-and-pops-washington,Bub and Pop’s,661
36,"1937 Piedmont Cir NE
Atlanta, GA 30324
(678) 974-5155",Atlanta,122,3393,3.0,https://www.yelp.com/biz/atlantis-restaurant-and-lounge-atlanta-3,Atlantis Restaurant & Lounge,951
37,"Piedmont Ave
Atlanta, GA 30309",Atlanta,1,3393,5.0,https://www.yelp.com/biz/chicomec%C3%B3atl-atlanta,chicomecóATL,161
38,"Buckhead
30 Old Ivy Rd
Atlanta, GA 30342
(404) 261-0025",Atlanta,441,3393,4.0,https://www.yelp.com/biz/hals-the-steakhouse-atlanta,Hal’s The Steakhouse,361
39,"2168 Briarcliff Rd NE
Atlanta, GA 30329
(404) 982-0666",Atlanta,351,3393,4.0,https://www.yelp.com/biz/ameers-mediterranean-grill-atlanta,Ameer’s Mediterranean Grill,561
40,"Buckhead
3420 Piedmont Rd NE
Atlanta, GA 30305
(404) 254-2848",Atlanta,253,3393,4.0,https://www.yelp.com/biz/lovies-bbq-atlanta,Lovies BBQ,761
41,"East Austin
Located in The Liberty
(512) 407-8166",Austin,517,2593,4.0,https://www.yelp.com/biz/east-side-king-austin-15,East Side King,620
42,"Rosedale
5000 Burnet Rd
Austin, TX 78756
(512) 897-4598",Austin,17,2593,5.0,https://www.yelp.com/biz/titas-austin,Tita’s,820
43,"8212 Barton Club Dr
Austin, TX 78798
(512) 329-4000",Austin,8,2593,3.5,https://www.yelp.com/biz/hill-country-dining-austin,Hill Country Dining,30
44,"Warehouse District, Downtown
401 W 2nd St
Austin, TX 78701
(512) 494-1500",Austin,1446,2593,4.0,https://www.yelp.com/biz/lamberts-downtown-barbecue-austin,Lamberts Downtown Barbecue,230
45,"Crestview
7101-A Woodrow Ave
Austin, TX 78757
(512) 467-7402",Austin,1003,2593,4.5,https://www.yelp.com/biz/little-deli-and-pizzeria-austin,Little Deli & Pizzeria,430
46,"Woodmere
5421 Reisterstown Rd
Baltimore, MD 21215
(410) 764-8055",Baltimore,5,4147,4.5,https://www.yelp.com/biz/peking-court-baltimore-3,Peking Court,73
47,"Inner Harbor
600 E Pratt St
Baltimore, MD 21202
(410) 528-9292",Baltimore,686,4147,4.0,https://www.yelp.com/biz/fogo-de-chao-brazilian-steakhouse-baltimore-4,Fogo de Chao Brazilian Steakhouse,273
48,"Little Italy
901 Fawn St
Baltimore, MD 21202
(410) 727-2667",Baltimore,284,4147,3.0,https://www.yelp.com/biz/sabatinos-italian-restaurant-baltimore,Sabatino’s Italian Restaurant,473
49,"Remington
300 W 30th St
Baltimore, MD 21211
(443) 869-5864",Baltimore,193,4147,3.5,https://www.yelp.com/biz/the-dizz-baltimore,The Dizz,673
50,"Midtown Belvedere
1212 Cathedral St
Baltimore, MD 21201
(410) 783-8000",Baltimore,13,4147,3.5,https://www.yelp.com/biz/joseph-meyerhoff-symphony-hall-baltimore-2,Joseph Meyerhoff Symphony Hall,873
51,"White Center
9602 16th Ave SW
Seattle, WA 98106
(206) 453-3531",Bellevue,19,4441,4.5,https://www.yelp.com/biz/brass-knuckle-bistro-seattle,Brass Knuckle Bistro,889
52,"Central District
1315 E Jefferson St
Seattle, WA 98122
(206) 485-7173",Bellevue,36,4441,4.0,https://www.yelp.com/biz/l-oursin-seattle,L’Oursin,99
53,"Located in Evans Plaza
(425) 747-7818",Bellevue,216,4441,4.0,https://www.yelp.com/biz/wibbleys-bellevue,Wibbley’s,299
54,"Pioneer Square
116 1st Ave S
Seattle, WA 98104
(206) 946-1283",Bellevue,336,4441,4.0,https://www.yelp.com/biz/damn-the-weather-seattle,Damn the Weather,499
55,"Belltown
2505 2nd Ave
Seattle, WA 98121
(206) 448-2610",Bellevue,144,4441,4.5,https://www.yelp.com/biz/no-anchor-seattle-3,No Anchor,699
56,"1125 Old Country Rd
San Carlos, CA 94070
(408) 921-8148",Belmont,1,440,3.0,https://www.yelp.com/biz/kellys-deli-san-carlos-2,Kelly’s Deli,180
57,"270 Redwood Shores Pkwy
Redwood City, CA 94065
(650) 654-2106",Belmont,4,440,5.0,https://www.yelp.com/biz/shores-cafe-redwood-city,Shores Cafe,380
58,"39TH Ave
San Mateo, CA 94403
(650) 573-2222",Belmont,5,440,3.5,https://www.yelp.com/biz/san-mateo-county-hospital-restaurant-san-mateo,San Mateo County Hospital Restaurant,140
59,"Piedmont Ave, North Oakland
4151 Piedmont Ave
Oakland, CA 94611
(510) 250-9534",Berkeley,205,2041,4.5,https://www.yelp.com/biz/rnr-sushi-and-bowls-oakland,RnR Sushi & Bowls,689
60,"357 Grand Ave
Oakland, CA 94610
(510) 452-2443",Berkeley,204,2041,4.0,https://www.yelp.com/biz/kinja-sushi-oakland-2,Kinja Sushi,889
61,"Lakeshore, Lower Hills
3265 Lakeshore Ave
Oakland, CA 94610
(510) 268-8849",Berkeley,1183,2041,4.5,https://www.yelp.com/biz/arizmendi-bakery-oakland,Arizmendi Bakery,99
62,"Downtown Berkeley
2136 Center St
Berkeley, CA 94704
(510) 990-6576",Berkeley,157,2041,3.5,https://www.yelp.com/biz/chickn-rice-berkeley,Chick’n Rice,299
63,"2507 Hearst Ave
Berkeley, CA 94709
(510) 540-1124",Berkeley,123,2041,3.0,https://www.yelp.com/biz/t-c-garden-restaurant-berkeley,T C Garden Restaurant,499
64,"9689 Santa Monica Blvd
Beverly Hills, CA 90210
(310) 271-3730",Beverly Hills,283,5505,3.5,https://www.yelp.com/biz/the-nosh-of-beverly-hills-beverly-hills,The Nosh Of Beverly Hills,961
